# Lunar source book 71501-1 Mare			
radius (m)	radius DF (normalised) (m-1)	mass (kg)	mass DF (kg-1)
3.20E-02	0.00E+00	4.12E-01	0
1.60E-02	2.30E-03	5.15E-02	5.65908E-11
8.00E-03	1.15E-02	6.43E-03	1.13182E-09
4.00E-03	2.53E-02	8.04E-04	9.95998E-09
2.00E-03	6.89E-02	1.01E-04	1.08654E-07
1.00E-03	2.30E-01	1.26E-05	1.44872E-06
5.00E-04	6.43E-01	1.57E-06	1.62257E-05
2.50E-04	2.21E+00	1.96E-07	0.000222524
1.25E-04	7.35E+00	2.45E-08	0.002966987
6.25E-05	1.99E+01	3.07E-09	0.032043457
3.13E-05	4.12E+01	3.83E-10	0.265842014
1.56E-05	7.35E+01	4.79E-11	1.898871528
7.81E-06	1.00E+02	5.99E-12	10.32986111
3.91E-06	8.47E+01	7.49E-13	35
1.95E-06	6.05E+01	9.36E-14	100
4.88E-07	0.00E+00	1.46E-15	0
