Test example
angle [rad]	flux [relative]	meanEnergy[eV]	energyDispersion[eV]
0.00E+00	1.00E+00	22	1
5.00E-02	9.90E-01	22	1
1.00E-01	9.40E-01	22	1
1.50E-01	8.80E-01	22	1
2.00E-01	8.20E-01	22	1
2.50E-01	7.80E-01	22	1
3.00E-01	7.30E-01	22	1
3.50E-01	6.70E-01	22	1
4.00E-01	5.80E-01	22	1
4.50E-01	4.80E-01	22	1
5.00E-01	3.60E-01	22	1
5.50E-01	2.60E-01	22	1
6.00E-01	1.80E-01	22	1
6.50E-01	1.10E-01	22	1
7.00E-01	7.00E-02	22	1
7.50E-01	4.00E-02	22	1
8.00E-01	2.00E-02	22	1
8.50E-01	1.00E-02	22	1
9.00E-01	3.00E-03	22	1
9.50E-01	5.00E-04	22	1
1.00E+00	0.00E+00	22	1
